bias_V,current_total
-0.5,6.63318235121e-14
-0.365,2.91436238614e-12
-0.23,1.34869354161e-10
-0.095,6.32386586345e-09
0.04,2.84340691443e-07
0.175,8.12279399218e-06
0.31,5.52175469985e-05
0.445,0.000142587856333
0.58,0.00025180675339
0.715,0.000372470182722
0.85,0.000499049988388
0.985,0.000628305504038
1.12,0.000758182825624
1.255,0.000887304177764
1.39,0.00101470057392
1.525,0.00113965330041
1.66,0.00126157959826
1.795,0.00137994623083
1.93,0.00149415742295
2.065,0.00160346199784
2.2,0.0017069265949
